iteration,index,objective,feasibility,feasible,evaluator_score,agg_score,elapsed_ms
0,0,2.3828369402363148,11.061548568208828,True,0.0,0.0,
0,1,1.9605950323437487,10.196246413571373,True,0.0,0.0,
0,2,2.295481443694666,43.55662084821951,True,0.0,0.0,
0,3,2.2862191724600325,10.803107145769177,True,0.0,0.0,
0,4,,,True,,6.006114640341687,
0,5,2.0786028702657138,9.047706030797167,True,0.0,0.0,
0,6,1.9052064828232211,14.549744813480288,True,0.0,0.0,
0,7,1.1537478973176793,5.867724884527789,True,0.0,0.0,
0,0,2.4812695870522656,10.97009943634616,True,0.0,0.0,
0,1,1.1401904235839058,6.6390990789830635,True,0.0,0.0,
