iteration,index,r_cos_norm,z_sin_norm,nfp,stellarator_symmetric,placeholder_metric,evaluator_score,agg_score,elapsed_ms
0,0,1.0010143004777885,0.00018196217730877124,3,True,1.0011962626550972,,1.0011962626550972,10895.66541701788
0,0,1.0009664567601575,0.00025720997906246375,3,True,1.00122366673922,,1.00122366673922,0.10958302300423384
0,0,1.0000138460177115,7.157908869886542e-05,3,True,1.0000854251064104,,1.0000854251064104,0.16158301150426269
0,0,1.001015888000818,0.00019812022191263712,3,True,1.0012140082227305,,1.0012140082227305,0.08050003089010715
0,0,1.002002172412188,0.0010551477586559453,3,True,1.003057320170844,,1.003057320170844,0.07520796498283744
0,0,1.0012732614587427,0.00030100572812641883,3,True,1.0015742671868693,,1.0015742671868693,0.07995899068191648
0,0,1.0004866793039358,0.00013728531721724727,3,True,1.000623964621153,,1.000623964621153,0.07237499812617898
0,0,1.0012237634150063,0.0014348648991800372,3,True,1.0026586283141863,,1.0026586283141863,0.06633298471570015
0,0,1.0001773673585468,0.0010727420478872786,3,True,1.001250109406434,,1.001250109406434,0.06608397234231234
0,0,1.001132319658024,0.001013030255097072,3,True,1.002145349913121,,1.002145349913121,0.0677499920129776
